epoch,train_loss,val_loss,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CIDEr,METEOR,is_best,learning_rate
0,3.482137742249862,2.8538212895393373,0.11352147305981147,0.055283776866621295,0.031612299005661475,0.020195270676424626,0.046651690499128255,0.13226538332404197,1,4.888e-05
1,2.919337187124335,2.5302937865257262,0.2609675733781255,0.1376636859543992,0.07330177160517351,0.04391901094672777,0.16796426009423554,0.21067747130359332,1,8.475999999999994e-05
2,2.665691186552462,2.4143030762672426,0.2858265203411044,0.151054405186525,0.08239637097686406,0.050314536366786594,0.2079772696933712,0.221372893932671,1,0.00012063999999999998
3,nan,2.361221134662628,0.30387661434942703,0.16040953556759724,0.08815734998314047,0.053253873922203133,0.24242350244368235,0.23516581047773158,1,0.0001299884775004083
4,nan,2.344902551174164,0.31325954656234745,0.16950068051489864,0.09299822380328417,0.055710600748802665,0.2606759567927142,0.23919392906534084,1,0.00012993622150772626
5,nan,2.301651668548584,0.31906554444828106,0.17250595026560012,0.09417779043192852,0.0573346466733808,0.27632092847433803,0.24423517227497957,1,0.00012984185173824718
6,nan,2.281514012813568,0.3237736338327104,0.17664385464470664,0.09878473340497261,0.06140985942174445,0.2964267565743943,0.25325226014677116,1,0.00012970546770732969
7,nan,2.267382574081421,0.31865770850607256,0.17236502328832282,0.09785100620992664,0.06073791029584437,0.2886825582339092,0.25308425274845553,0,0.00012952721323545633
8,nan,2.2579416155815126,0.3323198761561295,0.1829551365453923,0.10164606031794415,0.061839178962288514,0.3102491981117664,0.26041252031872597,1,0.00012930727629657045
9,nan,2.246978235244751,0.3303479167669606,0.1811941946656722,0.1026805977206579,0.06356211349757894,0.3219707893675286,0.2575793611413294,1,0.00012904588881985305
10,nan,2.2414916276931764,0.32564541344069997,0.1770192251982237,0.10024059087834113,0.06179174500436772,0.3099667378224534,0.25475739697100314,0,0.00012874332644514783
11,nan,2.237375724315643,0.324606186645556,0.17512410948451387,0.0979568386226085,0.059803669975700156,0.3147868333289725,0.25473550546255785,0,0.0001283999082322916
12,nan,2.2263336777687073,0.33042574094253085,0.18442076785507588,0.10374154060013809,0.0643102146168153,0.33274379542903226,0.26733920025331304,1,0.00012801599632465737
13,nan,2.225307595729828,0.3201380222861373,0.18171487592176658,0.10584594494518958,0.06686378913409723,0.3364004379976671,0.2571335558318725,1,0.00012759199556726486
14,nan,2.221324050426483,0.334607057321507,0.18967536919020545,0.10926027889550094,0.06798285268650318,0.3406496948584422,0.2661627802899634,1,0.00012712835307986128
15,2.1993531221928806,2.2246113777160645,0.3408306918417215,0.18817175545320683,0.10387270424348402,0.06371946689307656,0.3251456894736685,0.2681974711592765,0,0.0001266255577854216
16,2.1852365680362866,2.216147470474243,0.33643592092291325,0.18652978639400725,0.1038080657651702,0.06357541393650715,0.3345615290825656,0.2629830906721588,0,0.00012608413989456676
17,2.1686998359535052,2.215228807926178,0.3286236800544923,0.1795519903570096,0.10199994998064867,0.0632908657643363,0.3157997219921346,0.2623406291648073,0,0.00012550467034644287
18,2.1540395086226254,2.211345374584198,0.32790355807343285,0.18067759087694343,0.10293945610984713,0.06406880035734464,0.3175462471240073,0.26273150901294523,0,0.00012488776020665138
19,2.14297899733419,2.2140478610992433,0.3294863815635839,0.18140621144408112,0.10224153764457419,0.06307707392993847,0.2999969898185357,0.26042350989942287,0,0.00012423406002286434
20,nan,2.2074293732643127,0.33608638182802864,0.18237959578881113,0.10327645979479157,0.06463543327084921,0.31683819881711833,0.26659349344906114,0,0.00012354425913880504
21,nan,2.2090061783790587,0.3379259149688494,0.18420573954660466,0.10414991340203449,0.06469997743511728,0.33291330171710587,0.26546940250079387,0,0.00012281908496731745
22,nan,2.207630085945129,0.3326665737356578,0.18687274579738944,0.10849585670036682,0.06787025234246828,0.33746270185598315,0.26126672814712015,0,0.00012205930222329057
23,nan,2.2048401474952697,0.3353327975766854,0.18512530686737724,0.10572909956454409,0.06581588829221915,0.33806657126611106,0.2654482225216598,0,0.00012126571211724686
24,2.0932544560536095,2.2085238218307497,0.3336380060812679,0.18373155864138635,0.10376804917776136,0.06467863896200711,0.3296101566744322,0.2632477226740504,0,0.00012043915151044478
25,2.084994909556016,2.2038645505905152,0.32855955733702846,0.17816774195752322,0.10130485931258512,0.06303468945154123,0.3142582602085754,0.26092369880432387,0,0.0001195804920323874
26,2.071291704540667,2.2026474714279174,0.3337641008813153,0.1828517328330245,0.1032393245168138,0.06434295141147217,0.3284231287369465,0.263027144905662,0,0.00011869063916166635
27,nan,2.2023351788520813,0.33508924070076523,0.18509201816173576,0.10579324607102576,0.06709381277833941,0.3567892598042168,0.2662199882257061,1,0.00011777053127111112
28,2.056547023679899,2.2049596905708313,0.3321858791502233,0.18225405144753248,0.10300078118063984,0.06391005183770786,0.3301269194171986,0.260624424077639,0,0.00011682113863825102
29,nan,2.2096073269844054,0.33320174495262783,0.18264256758116593,0.1022429909549347,0.06310599219250647,0.32815672808104424,0.26273995080449075,0,0.00011584346242213218
30,2.0326427026935248,2.2099528193473814,0.3357606964563904,0.18379365220967286,0.10453188137355914,0.06491903100669202,0.3376713795546867,0.26540996244945664,0,0.00011483853360756975
31,2.0210990815059,2.203258728981018,0.32881316620329804,0.17996480736379625,0.10028415211769742,0.06153088272897726,0.3231753759266257,0.25999278999825587,0,0.00011380741191794745
32,2.020090613676154,2.207420492172241,0.3314993490199733,0.18241579983448641,0.10363585050717773,0.06444828038706071,0.3271192362013931,0.2618514652588709,0,0.00011275118469771214
33,nan,2.2081767201423643,0.33721318219293783,0.18557037384033384,0.10414662033689198,0.06464842684485343,0.3632029879281567,0.2644085497173497,1,0.00011167096576574124
34,2.002292699140051,2.203304719924927,0.3350409481867139,0.18463374099038032,0.10645041201885222,0.06678908735695217,0.3446512002563769,0.263455312292697,0,0.00011056789424079117
35,1.9939384149468464,2.205996263027191,0.32508349760537436,0.17922063031876193,0.10188647795268292,0.0632765990079652,0.33157866367392613,0.2628814325534823,0,0.00010944313334026819
